year,reporter,partner,commodity_code,section_code,trade_value_usd_exp,trade_value_usd_imp
2020,Argentina,Mexico,190219,04,0,69793
2017,Argentina,Mexico,190220,04,720,0
2017,Argentina,Mexico,190410,04,0,26515
2017,Argentina,Mexico,190531,04,1262,238
2019,Argentina,Mexico,190531,04,0,365
2020,Argentina,Mexico,190531,04,0,146162
2017,Argentina,Mexico,190590,04,32448,7763
2019,Argentina,Mexico,190590,04,2574,1085
2020,Argentina,Mexico,190590,04,0,1193
2017,Argentina,Mexico,200190,04,0,16061
2018,Argentina,Mexico,200190,04,0,22385
2019,Argentina,Mexico,200190,04,0,7967
2020,Argentina,Mexico,200190,04,0,12728
2017,Argentina,Mexico,200210,04,0,2017
2018,Argentina,Mexico,200210,04,0,1056
2019,Argentina,Mexico,200210,04,0,865
2019,Argentina,Mexico,200290,04,0,1016
2020,Argentina,Mexico,200290,04,0,2574
2017,Argentina,Mexico,200551,04,0,10421
2018,Argentina,Mexico,200551,04,0,12445
2019,Argentina,Mexico,200551,04,0,6856
2020,Argentina,Mexico,200551,04,0,3311
2020,Argentina,Mexico,200559,04,0,6678
2017,Argentina,Mexico,200570,04,109672,0
2017,Argentina,Mexico,200600,04,7545,0
2020,Argentina,Mexico,200710,04,0,120143
2017,Argentina,Mexico,200791,04,7384,0
2017,Argentina,Mexico,200799,04,20215,0
2017,Argentina,Mexico,200811,04,564907,0
2018,Argentina,Mexico,200811,04,624377,0
2017,Argentina,Mexico,200830,04,648,0
2017,Argentina,Mexico,200870,04,59106,0
2018,Argentina,Mexico,200870,04,795541,0
2019,Argentina,Mexico,200870,04,3430681,0
2017,Argentina,Mexico,200899,04,0,329320
2018,Argentina,Mexico,200899,04,0,981447
2019,Argentina,Mexico,200899,04,0,616915
2020,Argentina,Mexico,200899,04,0,29997
2018,Argentina,Mexico,200912,04,0,26218
2019,Argentina,Mexico,200912,04,0,4958
2020,Argentina,Mexico,200912,04,0,3035
2019,Argentina,Mexico,200921,04,0,1016
2020,Argentina,Mexico,200921,04,0,1016
2017,Argentina,Mexico,200929,04,399360,1118865
2018,Argentina,Mexico,200929,04,0,1307430
2019,Argentina,Mexico,200929,04,0,570698
2020,Argentina,Mexico,200929,04,0,762601
2017,Argentina,Mexico,200939,04,2589550,705544
2018,Argentina,Mexico,200939,04,4149615,67966
2019,Argentina,Mexico,200939,04,1363382,39327
2020,Argentina,Mexico,200939,04,1657106,3301
2017,Argentina,Mexico,200941,04,0,9512
2018,Argentina,Mexico,200941,04,0,74550
2019,Argentina,Mexico,200941,04,0,12339
2020,Argentina,Mexico,200941,04,0,7317
2017,Argentina,Mexico,200949,04,60900,0
2019,Argentina,Mexico,200961,04,0,1016
2020,Argentina,Mexico,200961,04,0,1016
2017,Argentina,Mexico,200969,04,756729,0
2018,Argentina,Mexico,200969,04,1608251,0
2019,Argentina,Mexico,200969,04,1274892,0
2020,Argentina,Mexico,200969,04,1655034,0
2017,Argentina,Mexico,200971,04,0,6726
2018,Argentina,Mexico,200971,04,0,40933
2019,Argentina,Mexico,200971,04,0,13075
2020,Argentina,Mexico,200971,04,0,4331
2017,Argentina,Mexico,200979,04,413943,0
2019,Argentina,Mexico,200981,04,0,9102
2020,Argentina,Mexico,200981,04,0,5042
2017,Argentina,Mexico,200989,04,82150,17394
2018,Argentina,Mexico,200989,04,0,121442
2019,Argentina,Mexico,200989,04,0,41186
2020,Argentina,Mexico,200989,04,0,16691
2017,Argentina,Mexico,200990,04,34200,0
2018,Argentina,Mexico,200990,04,0,13807
2019,Argentina,Mexico,200990,04,0,20541
2020,Argentina,Mexico,200990,04,0,6240
2017,Argentina,Mexico,210111,04,4325,1876
2018,Argentina,Mexico,210111,04,0,564
2019,Argentina,Mexico,210111,04,0,15191
2020,Argentina,Mexico,210111,04,0,17057
2017,Argentina,Mexico,210112,04,0,132477
2018,Argentina,Mexico,210112,04,0,178531
2019,Argentina,Mexico,210112,04,0,120398
2020,Argentina,Mexico,210112,04,0,86168
2017,Argentina,Mexico,210120,04,19155,189446
2018,Argentina,Mexico,210120,04,0,291563
2019,Argentina,Mexico,210120,04,0,258823
2020,Argentina,Mexico,210120,04,43690,1132815
2017,Argentina,Mexico,210210,04,0,45775
2018,Argentina,Mexico,210210,04,0,3728
2019,Argentina,Mexico,210210,04,0,267
2017,Argentina,Mexico,210220,04,0,15703
2018,Argentina,Mexico,210220,04,0,31165
2019,Argentina,Mexico,210220,04,0,21603
2020,Argentina,Mexico,210220,04,0,49525
2017,Argentina,Mexico,210320,04,0,122357
2018,Argentina,Mexico,210320,04,0,588261
2019,Argentina,Mexico,210320,04,0,511666
2020,Argentina,Mexico,210320,04,0,583190
2017,Argentina,Mexico,210330,04,0,12472
2018,Argentina,Mexico,210330,04,0,343580
2019,Argentina,Mexico,210330,04,0,306061
2020,Argentina,Mexico,210330,04,0,355027
2017,Argentina,Mexico,210390,04,0,71553
2018,Argentina,Mexico,210390,04,0,202182
2019,Argentina,Mexico,210390,04,0,168956
2020,Argentina,Mexico,210390,04,0,201453
2017,Argentina,Mexico,210610,04,0,4
2018,Argentina,Mexico,210610,04,0,9
2019,Argentina,Mexico,210610,04,0,8
2020,Argentina,Mexico,210610,04,0,30
2017,Argentina,Mexico,210690,04,253634,1591017
2018,Argentina,Mexico,210690,04,215840,2058842
2019,Argentina,Mexico,210690,04,330174,2083587
2020,Argentina,Mexico,210690,04,987754,2815243
2017,Argentina,Mexico,220110,04,0,21306
2018,Argentina,Mexico,220110,04,0,20425
2019,Argentina,Mexico,220110,04,0,17811
2020,Argentina,Mexico,220110,04,0,57131
2017,Argentina,Mexico,220210,04,135,4782
2017,Argentina,Mexico,220290,04,406,629655
2018,Argentina,Mexico,220290,04,0,815065
2019,Argentina,Mexico,220290,04,0,951268
2020,Argentina,Mexico,220290,04,0,1661410
2017,Argentina,Mexico,220300,04,121775,22965338
2018,Argentina,Mexico,220300,04,0,29823276
2019,Argentina,Mexico,220300,04,0,14143286
